Order ID,Site ID,Site,Status,Supplier,Created,Confirmed,Delivery,Delivered,Del. Note Ref.,Order (£),Confirmation (£),Delivery (£),Delivered (£),Order Sent,Delivery Note Received On,Invoice Gross (£),Invoice No.,Invoice Paid on,Document Type,Customer PO,Signed Amount (£)
BRAKES-9335206125,9999,The Vedanta,Invoice,Brakes,7/10/25 0:00,,7/10/25 0:00,7/10/25 0:00,EC23171676,16.58,,,16.58,7/10/25 0:00,,16.58,9335206125,,Invoice - Head Office,EC23171676,16.58
BRAKES-9335206124,9999,The Vedanta,Invoice,Brakes,7/10/25 0:00,,7/10/25 0:00,7/10/25 0:00,EC23137218,282.45,,,282.45,7/10/25 0:00,,282.45,9335206124,,Invoice - Head Office,EC23137218,282.45
BRAKES-9335204453,9999,The Vedanta,Invoice,Brakes,7/8/25 0:00,,7/8/25 0:00,7/8/25 0:00,EC23101844,869.06,,,869.06,7/8/25 0:00,,869.06,9335204453,,Invoice - Head Office,EC23101844,869.06
BRAKES-5508721280,9999,The Vedanta,Credit,Brakes,7/7/25 0:00,,7/7/25 0:00,,,,,,,7/7/25 0:00,,38.15,5508721280,,Credits - Head Office,,-38.15
BRAKES-9335203437,9999,The Vedanta,Invoice,Brakes,7/5/25 0:00,,7/5/25 0:00,7/5/25 0:00,EC23070589,753.72,,,753.72,7/5/25 0:00,,753.72,9335203437,,Invoice - Head Office,EC23070589,753.72
BRAKES-9335201880,9999,The Vedanta,Invoice,Brakes,7/3/25 0:00,,7/3/25 0:00,7/3/25 0:00,EC23037586,284.29,,,284.29,7/3/25 0:00,,284.29,9335201880,,Invoice - Head Office,EC23037586,284.29
BRAKES-9335200173,9999,The Vedanta,Invoice,Brakes,7/1/25 0:00,,7/1/25 0:00,7/1/25 0:00,EC23003862,453.52,,,453.52,7/1/25 0:00,,453.52,9335200173,,Invoice - Head Office,EC23003862,453.52
BRAKES-9335199197,9999,The Vedanta,Invoice,Brakes,6/28/25 0:00,,6/28/25 0:00,6/28/25 0:00,EC22976762,311.83,,,311.83,6/28/25 0:00,,311.83,9335199197,,Invoice - Head Office,EC22976762,311.83
BRAKES-5508710436,9999,The Vedanta,Credit,Brakes,6/27/25 0:00,,6/27/25 0:00,,,,,,,6/27/25 0:00,,49.22,5508710436,,Credits - Head Office,,-49.22
BRAKES-9335197643,9999,The Vedanta,Invoice,Brakes,6/26/25 0:00,,6/26/25 0:00,6/26/25 0:00,EC22940143,528.29,,,528.29,6/26/25 0:00,,528.29,9335197643,,Invoice - Head Office,EC22940143,528.29
BRAKES-9335195948,9999,The Vedanta,Invoice,Brakes,6/24/25 0:00,,6/24/25 0:00,6/24/25 0:00,EC22902682,177.45,,,177.45,6/24/25 0:00,,177.45,9335195948,,Invoice - Head Office,EC22902682,177.45
BRAKES-9335194904,9999,The Vedanta,Invoice,Brakes,6/21/25 0:00,,6/21/25 0:00,6/21/25 0:00,EC22866747,447.73,,,447.73,6/21/25 0:00,,447.73,9335194904,,Invoice - Head Office,EC22866747,447.73
BRAKES-5508700796,9999,The Vedanta,Credit,Brakes,6/20/25 0:00,,6/20/25 0:00,,,,,,,6/20/25 0:00,,21.81,5508700796,,Credits - Head Office,,-21.81
BRAKES-5508700797,9999,The Vedanta,Credit,Brakes,6/20/25 0:00,,6/20/25 0:00,,,,,,,6/20/25 0:00,,22.24,5508700797,,Credits - Head Office,,-22.24
BRAKES-9335193335,9999,The Vedanta,Invoice,Brakes,6/19/25 0:00,,6/19/25 0:00,6/19/25 0:00,EC22805447,957.57,,,957.57,6/19/25 0:00,,957.57,9335193335,,Invoice - Head Office,EC22805447,957.57
BRAKES-9335191421,9999,The Vedanta,Invoice,Brakes,6/16/25 0:00,,6/16/25 0:00,6/16/25 0:00,,176.58,,,176.58,6/16/25 0:00,,176.58,9335191421,,Invoice - Head Office,,176.58
BRAKES-5508693319,9999,The Vedanta,Credit,Brakes,6/15/25 0:00,,6/15/25 0:00,,,,,,,6/15/25 0:00,,248.91,5508693319,,Credits - Head Office,,-248.91
BRAKES-9335190540,9999,The Vedanta,Invoice,Brakes,6/14/25 0:00,,6/14/25 0:00,6/14/25 0:00,EC22767772,1115.44,,,1115.44,6/14/25 0:00,,1115.44,9335190540,,Invoice - Head Office,EC22767772,1115.44
BRAKES-9335188975,9999,The Vedanta,Invoice,Brakes,6/12/25 0:00,,6/12/25 0:00,6/12/25 0:00,EC22721608,907.05,,,907.05,6/12/25 0:00,,907.05,9335188975,,Invoice - Head Office,EC22721608,907.05
BRAKES-9335187269,9999,The Vedanta,Invoice,Brakes,6/10/25 0:00,,6/10/25 0:00,6/10/25 0:00,EC22721089,107.72,,,107.72,6/10/25 0:00,,107.72,9335187269,,Invoice - Head Office,EC22721089,107.72
BRAKES-9335187270,9999,The Vedanta,Invoice,Brakes,6/10/25 0:00,,6/10/25 0:00,6/10/25 0:00,FRONT OF HOUSES,659.44,,,659.44,6/10/25 0:00,,659.44,9335187270,,Invoice - Head Office,FRONT OF HOUSES,659.44
BRAKES-9335187271,9999,The Vedanta,Invoice,Brakes,6/10/25 0:00,,6/10/25 0:00,6/10/25 0:00,RUPERT,1117.89,,,1117.89,6/10/25 0:00,,1117.89,9335187271,,Invoice - Head Office,RUPERT,1117.89
BRAKES-9335186246,9999,The Vedanta,Invoice,Brakes,6/7/25 0:00,,6/7/25 0:00,6/7/25 0:00,EC22689919,9.06,,,9.06,6/7/25 0:00,,9.06,9335186246,,Invoice - Head Office,EC22689919,9.06
BRAKES-9335186247,9999,The Vedanta,Invoice,Brakes,6/7/25 0:00,,6/7/25 0:00,6/7/25 0:00,EC22657820,619.71,,,619.71,6/7/25 0:00,,619.71,9335186247,,Invoice - Head Office,EC22657820,619.71
BRAKES-5508682855,9999,The Vedanta,Credit,Brakes,6/6/25 0:00,,6/6/25 0:00,,,,,,,6/6/25 0:00,,29.97,5508682855,,Credits - Head Office,,-29.97
BRAKES-9335184671,9999,The Vedanta,Invoice,Brakes,6/5/25 0:00,,6/5/25 0:00,6/5/25 0:00,EC22613942,1082.19,,,1082.19,6/5/25 0:00,,1082.19,9335184671,,Invoice - Head Office,EC22613942,1082.19
BRAKES-5508679575,9999,The Vedanta,Credit,Brakes,6/4/25 0:00,,6/4/25 0:00,,,,,,,6/4/25 0:00,,11.37,5508679575,,Credits - Head Office,,-11.37
BRAKES-9335182973,9999,The Vedanta,Invoice,Brakes,6/3/25 0:00,,6/3/25 0:00,6/3/25 0:00,EC22584725,1293.43,,,1293.43,6/3/25 0:00,,1293.43,9335182973,,Invoice - Head Office,EC22584725,1293.43
BRAKES-9335181937,9999,The Vedanta,Invoice,Brakes,5/31/25 0:00,,5/31/25 0:00,5/31/25 0:00,EC22555660,911.85,,,911.85,5/31/25 0:00,,911.85,9335181937,,Invoice - Head Office,EC22555660,911.85
BRAKES-9335181936,9999,The Vedanta,Invoice,Brakes,5/31/25 0:00,,5/31/25 0:00,5/31/25 0:00,EC22584361,31.46,,,31.46,5/31/25 0:00,,31.46,9335181936,,Invoice - Head Office,EC22584361,31.46
BRAKES-9335180812,9999,The Vedanta,Invoice,Brakes,5/29/25 0:00,,5/29/25 0:00,5/29/25 0:00,EC22526119,469.23,,,469.23,5/29/25 0:00,,469.23,9335180812,,Invoice - Head Office,EC22526119,469.23
BRAKES-5508669850,9999,The Vedanta,Credit,Brakes,5/28/25 0:00,,5/28/25 0:00,,,,,,,5/28/25 0:00,,57.84,5508669850,,Credits - Head Office,,-57.84
BRAKES-9335179700,9999,The Vedanta,Invoice,Brakes,5/27/25 0:00,,5/27/25 0:00,5/27/25 0:00,EC22506151,750.54,,,750.54,5/27/25 0:00,,750.54,9335179700,,Invoice - Head Office,EC22506151,750.54
BRAKES-9335179701,9999,The Vedanta,Invoice,Brakes,5/27/25 0:00,,5/27/25 0:00,5/27/25 0:00,,35.8,,,35.8,5/27/25 0:00,,35.8,9335179701,,Invoice - Head Office,,35.8
BRAKES-7335006165,9999,The Vedanta,Credit,Brakes,5/27/25 0:00,,5/27/25 0:00,,,,,,,5/27/25 0:00,,35.8,7335006165,,Credits - Head Office,,-35.8
BRAKES-5508666016,9999,The Vedanta,Credit,Brakes,5/25/25 0:00,,5/25/25 0:00,,,,,,,5/25/25 0:00,,16.05,5508666016,,Credits - Head Office,,-16.05
BRAKES-9335178796,9999,The Vedanta,Invoice,Brakes,5/24/25 0:00,,5/24/25 0:00,5/24/25 0:00,EC22471862,756.08,,,756.08,5/24/25 0:00,,756.08,9335178796,,Invoice - Head Office,EC22471862,756.08
BRAKES-5508664841,9999,The Vedanta,Credit,Brakes,5/23/25 0:00,,5/23/25 0:00,,,,,,,5/23/25 0:00,,74.87,5508664841,,Credits - Head Office,,-74.87
BRAKES-9335177241,9999,The Vedanta,Invoice,Brakes,5/22/25 0:00,,5/22/25 0:00,5/22/25 0:00,EC22431623,609.82,,,609.82,5/22/25 0:00,,609.82,9335177241,,Invoice - Head Office,EC22431623,609.82
BRAKES-9335175350,9999,The Vedanta,Invoice,Brakes,5/20/25 0:00,,5/20/25 0:00,5/20/25 0:00,EC22401212,409.9,,,409.9,5/20/25 0:00,,409.9,9335175350,,Invoice - Head Office,EC22401212,409.9
BRAKES-9335174272,9999,The Vedanta,Invoice,Brakes,5/17/25 0:00,,5/17/25 0:00,5/17/25 0:00,EC22370441,628.3,,,628.3,5/17/25 0:00,,628.3,9335174272,,Invoice - Head Office,EC22370441,628.3
BRAKES-9335174271,9999,The Vedanta,Invoice,Brakes,5/17/25 0:00,,5/17/25 0:00,5/17/25 0:00,EC22401062,128.87,,,128.87,5/17/25 0:00,,128.87,9335174271,,Invoice - Head Office,EC22401062,128.87
BRAKES-9335172508,9999,The Vedanta,Invoice,Brakes,5/15/25 0:00,,5/15/25 0:00,5/15/25 0:00,EC22322000,1341.4,,,1341.4,5/15/25 0:00,,1341.4,9335172508,,Invoice - Head Office,EC22322000,1341.4
BRAKES-5508651839,9999,The Vedanta,Credit,Brakes,5/14/25 0:00,,5/14/25 0:00,,,,,,,5/14/25 0:00,,25.04,5508651839,,Credits - Head Office,,-25.04
BRAKES-9335170603,9999,The Vedanta,Invoice,Brakes,5/13/25 0:00,,5/13/25 0:00,5/13/25 0:00,EC22321883,295.62,,,295.62,5/13/25 0:00,,295.62,9335170603,,Invoice - Head Office,EC22321883,295.62
BRAKES-9335170604,9999,The Vedanta,Invoice,Brakes,5/13/25 0:00,,5/13/25 0:00,5/13/25 0:00,EC22296355,941.1,,,941.1,5/13/25 0:00,,941.1,9335170604,,Invoice - Head Office,EC22296355,941.1
BRAKES-5508648717,9999,The Vedanta,Credit,Brakes,5/11/25 0:00,,5/11/25 0:00,,,,,,,5/11/25 0:00,,46.07,5508648717,,Credits - Head Office,,-46.07
BRAKES-9335169617,9999,The Vedanta,Invoice,Brakes,5/10/25 0:00,,5/10/25 0:00,5/10/25 0:00,TONY,675.94,,,675.94,5/10/25 0:00,,675.94,9335169617,,Invoice - Head Office,TONY,675.94
BRAKES-5508646559,9999,The Vedanta,Credit,Brakes,5/9/25 0:00,,5/9/25 0:00,,,,,,,5/9/25 0:00,,32.03,5508646559,,Credits - Head Office,,-32.03
BRAKES-9335167846,9999,The Vedanta,Invoice,Brakes,5/8/25 0:00,,5/8/25 0:00,5/8/25 0:00,EC22204354,265.57,,,265.57,5/8/25 0:00,,265.57,9335167846,,Invoice - Head Office,EC22204354,265.57
BRAKES-9335165249,9999,The Vedanta,Invoice,Brakes,5/3/25 0:00,,5/3/25 0:00,5/3/25 0:00,EC22112592,309.59,,,309.59,5/3/25 0:00,,309.59,9335165249,,Invoice - Head Office,EC22112592,309.59
BRAKES-9335161659,9999,The Vedanta,Invoice,Brakes,4/29/25 0:00,,4/29/25 0:00,4/29/25 0:00,EC22084892,517.73,,,517.73,4/29/25 0:00,,517.73,9335161659,,Invoice - Head Office,EC22084892,517.73
BRAKES-9335160696,9999,The Vedanta,Invoice,Brakes,4/26/25 0:00,,4/26/25 0:00,4/26/25 0:00,EC22046432,269.05,,,269.05,4/26/25 0:00,,269.05,9335160696,,Invoice - Head Office,EC22046432,269.05
BRAKES-9335159052,9999,The Vedanta,Invoice,Brakes,4/24/25 0:00,,4/24/25 0:00,4/24/25 0:00,EC21956111,909.47,,,909.47,4/24/25 0:00,,909.47,9335159052,,Invoice - Head Office,EC21956111,909.47
BRAKES-5508619995,9999,The Vedanta,Credit,Brakes,4/18/25 0:00,,4/18/25 0:00,,,,,,,4/18/25 0:00,,52.77,5508619995,,Credits - Head Office,,-52.77
BRAKES-9335156062,9999,The Vedanta,Invoice,Brakes,4/17/25 0:00,,4/17/25 0:00,4/17/25 0:00,EC21910572,390.38,,,390.38,4/17/25 0:00,,390.38,9335156062,,Invoice - Head Office,EC21910572,390.38
BRAKES-9335153976,9999,The Vedanta,Invoice,Brakes,4/12/25 0:00,,4/12/25 0:00,4/12/25 0:00,EC21877403,499.93,,,499.93,4/12/25 0:00,,499.93,9335153976,,Invoice - Head Office,EC21877403,499.93
BRAKES-9335152827,9999,The Vedanta,Invoice,Brakes,4/10/25 0:00,,4/10/25 0:00,4/10/25 0:00,HOPMAN,1038.1,,,1038.1,4/10/25 0:00,,1038.1,9335152827,,Invoice - Head Office,HOPMAN,1038.1
BRAKES-9335146437,9999,The Vedanta,Invoice,Brakes,3/29/25 0:00,,3/29/25 0:00,3/29/25 0:00,EC21615027,359.97,,,359.97,3/29/25 0:00,,359.97,9335146437,,Invoice - Head Office,EC21615027,359.97
BRAKES-9335141938,9999,The Vedanta,Invoice,Brakes,3/22/25 0:00,,3/22/25 0:00,3/22/25 0:00,EC21582470,223.79,,,223.79,3/22/25 0:00,,223.79,9335141938,,Invoice - Head Office,EC21582470,223.79
BRAKES-9335140283,9999,The Vedanta,Invoice,Brakes,3/20/25 0:00,,3/20/25 0:00,3/20/25 0:00,EC21507582,633.77,,,633.77,3/20/25 0:00,,633.77,9335140283,,Invoice - Head Office,EC21507582,633.77
BRAKES-9335137527,9999,The Vedanta,Invoice,Brakes,3/15/25 0:00,,3/15/25 0:00,3/15/25 0:00,EC21473709,212.08,,,212.08,3/15/25 0:00,,212.08,9335137527,,Invoice - Head Office,EC21473709,212.08
BRAKES-9335135934,9999,The Vedanta,Invoice,Brakes,3/13/25 0:00,,3/13/25 0:00,3/13/25 0:00,KC SOC,37.92,,,37.92,3/13/25 0:00,,37.92,9335135934,,Invoice - Head Office,KC SOC,37.92
BRAKES-9335135935,9999,The Vedanta,Invoice,Brakes,3/13/25 0:00,,3/13/25 0:00,3/13/25 0:00,KC SOC,1313.59,,,1313.59,3/13/25 0:00,,1313.59,9335135935,,Invoice - Head Office,KC SOC,1313.59
BRAKES-9335130114,9999,The Vedanta,Invoice,Brakes,3/4/25 0:00,,3/4/25 0:00,3/4/25 0:00,EC21323162,410.56,,,410.56,3/4/25 0:00,,410.56,9335130114,,Invoice - Head Office,EC21323162,410.56
BRAKES-9335129714,9999,The Vedanta,Invoice,Brakes,3/3/25 0:00,,3/3/25 0:00,3/3/25 0:00,EC21309963,1138.11,,,1138.11,3/3/25 0:00,,1138.11,9335129714,,Invoice - Head Office,EC21309963,1138.11
BRAKES-9335129214,9999,The Vedanta,Invoice,Brakes,3/1/25 0:00,,3/1/25 0:00,3/1/25 0:00,EC21309853,91.17,,,91.17,3/1/25 0:00,,91.17,9335129214,,Invoice - Head Office,EC21309853,91.17
BRAKES-9335129216,9999,The Vedanta,Invoice,Brakes,3/1/25 0:00,,3/1/25 0:00,3/1/25 0:00,EC21302664,183.1,,,183.1,3/1/25 0:00,,183.1,9335129216,,Invoice - Head Office,EC21302664,183.1
