Metric,Value
Invoice line items analysed,5297
Unique products ordered,1039
Products ordered only once (no comparison possible),426
Products with stable price (never changed),554
Products with at least 1 price change,485
Total price-change events (how many times prices moved),1026
Products ending HIGHER than first price,360
Products ending LOWER than first price,119
Products that changed but ended at same as first,6

Brakes Code,Product,Times changed,First £,Last £,Change %,Direction,Spend £
4198,Sysco Classic Chota Naan            1x30,2,7.55,7.77,2.91,UP,91.77
33606,Brakes Fine Cut Marmalade       1x2.72kg,2,8.7,8.92,2.53,UP,52.87
470977,Marshalls Macaroni 3Kg           1 X 3Kg,2,8.99,9.21,2.45,UP,82.46
100439,Noels Bicarbonate Of Soda         1x900g,2,3.3,3.38,2.42,UP,19.34
115344,Brakes Pure Clear Honey           6x454g,2,30.09,30.81,2.39,UP,303.2
149958,Kuhne Pickld Dill Gherkn Slices 1x2.45kg,2,9.78,10.0,2.25,UP,109.71
136533,Ardo Oven Dried Tomatoes           1x1kg,2,6.9,7.05,2.17,UP,284.4
151022,Hazlemere Cider Vinegar 1x5ltr,2,6.62,6.76,2.11,UP,40.07
120625,Levanto HRD Veg Cheese Shave       1x1kg,2,21.3,21.74,2.07,UP,258.23
151763,Kingsmill 50/50 Thck Sliced Bread 8x800g,2,15.11,15.4,1.92,UP,106.56
129529,Reliance Blue assorted Plasters 1x150,2,7.34,7.48,1.91,UP,29.71
109618,Alpro Original Soya Sweetened       8x1L,2,11.58,11.8,1.9,UP,176.13
508,Cadbury Drinking Chocolate         1x5kg,2,38.73,39.45,1.86,UP,313.5
111707,LaBou 10in BarMarkd Flour Tortillas 4x18,2,11.87,12.09,1.85,UP,59.72
100222,Sysco Plain Flour                1x16kg,2,10.89,11.09,1.84,UP,88.22
127153,Mikado Rice Vinegar CASE         6x500ml,2,12.16,12.38,1.81,UP,61.3
134002,Perfect British Cheeseboard       6x155g,2,24.62,25.05,1.75,UP,274.67
152189,Extons Mature Cheddar Slices       1x1kg,2,6.47,6.58,1.7,UP,78.47
22383,Somerset Brie                        1kg,2,12.45,12.66,1.69,UP,37.7
104628,British Cheese Board      1x840g,2,17.27,17.56,1.68,UP,121.62
132654,Flat Tape Handle Paper Bag Medium  1x250,2,14.39,14.63,1.67,UP,87.36
152056,Unearthed Pitted Blck Olive  1x3.8kg,2,17.7,17.99,1.64,UP,125.14
118890,Quaker Oats GF Original Porridge  5x510g,2,13.6,13.82,1.62,UP,96.06
149599,Lion Dijon Mustard              1x2.27lt,2,13.17,13.38,1.59,UP,53.24
132777,Alpro Oat No Sugars               8x1ltr,2,13.46,13.67,1.56,UP,81.67
129229,"15cm (6) GF Soft Blue Corn Tortilla6x24""",2,22.74,23.03,1.28,UP,222.48
186678,Donut the Golden Fry              1x12,2,6.83,6.75,-1.17,DOWN,20.77
135180,Global Hacienda Green Asparagus      1kg,2,6.69,6.76,1.05,UP,105.13
591136,Kalamata Olives Whole OC 119645    1x1kg,2,10.5,10.58,0.76,UP,374.83
5003095,BlueDragon Extr Firm Silken Tofu 12x308g,2,23.18,23.32,0.6,UP,112.01
135285,Nairns GF Mixed Oat Biscuit Break 48x30g,2,14.61,14.61,0.0,SAME,414.36
5010628,Global Hacienda Avocado Slices    1x500g,2,2.99,2.99,0.0,SAME,352.82
150423,5 Bean Salad in Water             1x800g,2,1.43,1.43,0.0,SAME,182.2
118560,Alpro Oat Drink                    1litr,2,1.94,1.94,0.0,SAME,125.79
146186,Sysco Classic Straight Macaroni 5kg,2,7.77,7.77,0.0,SAME,116.76
85293,Sysco Classic Whole Blk Peppercorns 1kg,1,18.71,31.17,66.6,UP,49.88
255,Sysco Desiccated Coconut          1x2kg,1,10.22,16.48,61.25,UP,137.46
100246,Brakes The Juice Grapefruit      12x1ltr,1,10.99,17.56,59.78,UP,81.23
133678,Dr Oetker Cocoa Powder             1x1kg,1,9.64,15.18,57.47,UP,84.1
109628,White Quinoa                       1x1kg,1,10.72,4.68,-56.34,DOWN,216.36
350157,Brakes Squeezy Clear Honey (86120)  680g,1,7.12,3.59,-49.58,DOWN,67.97
104446,DUNI White 3ply Napkin 40cm       1x1000,1,32.82,48.81,48.72,UP,81.63
132992,GN 1/1 S/S Gastronorm - 20cm deep 1x1,1,17.49,25.39,45.17,UP,171.52
591066,Napkin White 2ply 24cm OC107389  8x300ea,1,49.89,69.54,39.39,UP,169.32
554,Brakes Green Split Peas      1x3kg,1,6.4,4.02,-37.19,DOWN,10.42
5026266,Dr.Oetker Prof Madagscn Van Extr 1x500ml,1,5.99,8.2,36.89,UP,83.57
10230,Cucumber Single BB                1xEach,1,0.58,0.79,36.21,UP,7.64
1622,Brakes Cashew Kernels              1x1Kg,1,13.17,17.78,35.0,UP,48.73
29379,Brakes Honey Portions            100x20g,1,18.93,12.51,-33.91,DOWN,43.95
4116,Brake Raspberries                   500g,1,6.69,8.92,33.33,UP,24.53
150305,Hellmanns Vegan Mayonnaise         1x5lt,1,23.99,16.48,-31.3,DOWN,40.47
5002322,Sysco Classic Extr Virgn OliveOil 1x2ltr,1,9.21,11.8,28.12,UP,21.01
88308,Brks White 2ply Napkin 40cm 2x300,1,23.46,17.34,-26.09,DOWN,75.48
88427,Tetley Decaf DfwString Envelopes 6x25,1,9.99,12.52,25.33,UP,32.5
89921,PG Tips Envelope Tea Bags          1x200,1,10.29,12.88,25.17,UP,36.05
12876,Mcdougalls Dark Chocolate Chips  1x1.1kg,1,10.58,13.24,25.14,UP,23.82
132853,Stainless Steel Speed Peeler CE      1x1,1,4.59,3.49,-23.97,DOWN,30.12
88289,Brakes White 2ply Napkin 33cm 2x300,1,12.02,9.21,-23.38,DOWN,33.25
150943,Beechdean Classic Vanilla Ice Cream 1x5l,1,14.32,10.99,-23.25,DOWN,64.94
8796,Brakes Pecan Nuts                  1x1kg,1,19.36,23.82,23.04,UP,67.0
3243,Sysco Classic Sweetcorn     1kg,1,2.58,1.99,-22.87,DOWN,33.76
71128,Brake Saltd Dairy Butter (70055) 20x250g,1,40.46,49.38,22.05,UP,188.6
