Document Date,Document Number,Type,Is Credit,Brakes Code,Product / Ingredient,Qty Case,Unit Price,Net Value,Category,Subcategory,PO,Source
2025-05-10,9335169617,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-05-15,9335172508,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-05-20,9335175350,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-05-22,9335177241,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-06-05,9335184671,INVOICE,No,118561,Alpro Simply Plain                1x500g,12,1.65,19.8,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-06-07,9335186247,INVOICE,No,118561,Alpro Simply Plain                1x500g,2,1.65,3.3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-06-07,9335186247,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-06-19,9335193335,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-06-24,9335195948,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-07-03,9335201880,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-07-08,9335204453,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,2,9.9,19.8,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-07-19,9335211554,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-07-24,9335214052,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-07-31,9335217285,INVOICE,No,118561,Alpro Simply Plain                1x500g,4,1.65,6.6,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-08-02,9335218441,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-08-02,9335218441,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-08-03,5508754608,CREDIT,Yes,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,-9.9,Alpro yoghurt,Alpro yoghurt,,Credit PDF
2025-08-07,9335220456,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-08-12,9335222453,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-08-30,9335231157,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-09-02,9335232189,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-09-02,9335232189,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-09-04,9335233943,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.9,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-09-06,9335235734,INVOICE,No,118561,Alpro Simply Plain                1x500g,8,1.65,13.2,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-09-16,9335241565,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.65,4.95,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-10-11,9335259648,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-10-16,9335262653,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-10-23,9335266755,INVOICE,No,118561,Alpro Simply Plain                1x500g,2,1.65,3.3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-10-25,9335268078,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-11-15,9335281464,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV
2025-11-18,9335282652,INVOICE,No,118561,Alpro Simply Plain                1x500g,12,1.65,19.8,Alpro yoghurt,Alpro yoghurt,EC25052241,Invoice CSV
2025-11-20,9335284508,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,RUPERT,Invoice CSV
2025-11-22,9335286369,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,2,9.96,19.92,Alpro yoghurt,Alpro yoghurt,EC25138597,Invoice CSV
2025-12-16,9335302176,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC25531725,Invoice CSV
2025-12-19,9335305368,INVOICE,No,118561,Alpro Simply Plain                1x500g,3,1.65,4.95,Alpro yoghurt,Alpro yoghurt,EC25602526,Invoice CSV
2025-12-20,9335306089,INVOICE,No,118561,Alpro Simply Plain                1x500g,6,1.65,9.9,Alpro yoghurt,Alpro yoghurt,EC25620311,Invoice CSV
2026-01-08,9335312652,INVOICE,No,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,9.96,Alpro yoghurt,Alpro yoghurt,EC25629965,Invoice CSV
2026-01-10,5508972018,CREDIT,Yes,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,9.96,-9.96,Alpro yoghurt,Alpro yoghurt,,Credit PDF
