Metric,Value
Food invoice lines,5070
Food credit lines,113
All food purchase lines (invoice + credit),5189
Unique food products bought,968
Food products with a real price change,453
Total real price-change events,971
Food products ending HIGHER than first price,333
Food products ending LOWER than first price,114
Food invoice spend £,128986.79
Food credits £,-3492.73
Food net spend £,132479.52

Brakes Code,Product,Category,Times ordered,First £,Last £,Times changed,Change %,Direction,Net spend £,Price history
4599,Sysco Essential Garden Peas      1x2.5kg,Other food,34,4.53,3.97,6,-12.36,DOWN,383.12,£4.53 (2024-09-19) → £3.89 (2024-11-21) → £3.97 (2024-12-03) → £4.05 (2025-04-10) → £3.89 (2025-06-12) → £4.05 (2025-07-10) → £3.97 (2025-10-16)
134490,Butlers of Lanc Cheese Selection    650g,Other food,9,11.58,12.38,3,6.91,UP,380.92,£11.58 (2024-08-27) → £12.16 (2025-01-14) → £12.30 (2025-04-24) → £12.38 (2026-03-12)
87045,Olive Pomace Oil            1x5L,Other food,14,21.45,17.92,2,-16.46,DOWN,375.57,£21.45 (2024-10-24) → £18.86 (2025-05-13) → £17.92 (2025-07-03)
149038,DrSchar GF & V White Sandwich Loaf   1x6,Other food,14,26.92,23.99,5,-10.88,DOWN,375.32,£26.92 (2024-07-30) → £27.28 (2025-04-17) → £24.99 (2025-05-15) → £27.28 (2025-06-05) → £27.42 (2025-12-20) → £23.99 (2026-06-09)
591136,Kalamata Olives Whole OC 119645    1x1kg,Other food,21,10.5,10.58,2,0.76,UP,374.83,£10.50 (2025-05-22) → £8.99 (2025-09-04) → £10.58 (2025-10-07)
4381,Sysco Classic 10 Flour Tortillas    4x18,Other food,15,11.58,16.05,3,38.6,UP,366.19,£11.58 (2024-07-20) → £15.47 (2024-11-07) → £15.69 (2025-05-17) → £16.05 (2026-04-25)
118256,Crawfords Biscuits Minipack3       1x100,Biscuits,8,26.13,26.13,0,0.0,SAME,365.82,£26.13 (2024-07-20)
133966,PG Tips Envelopes                 1x1000,Other food,7,47.58,56.44,5,18.62,UP,362.8,£47.58 (2024-08-13) → £55.36 (2024-12-10) → £40.99 (2025-06-03) → £56.08 (2025-07-29) → £50.99 (2025-11-04) → £56.44 (2025-11-29)
100244,Brakes The Juice Apple           12x1ltr,Drinks,28,11.8,14.32,6,21.36,UP,361.93,£11.80 (2024-08-03) → £9.51 (2024-10-01) → £10.18 (2025-04-24) → £10.54 (2025-11-13) → £9.99 (2025-11-27) → £10.54 (2026-01-29) → £14.32 (2026-05-02)
101767,Mission 12in Wheatbran Tortillas  1x4x18,Other food,13,27.64,27.78,1,0.51,UP,360.72,£27.64 (2025-07-01) → £27.78 (2025-10-21)
