Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2024-10-01,9335054765,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-10-05,9335058099,INVOICE,118561,Alpro Simply Plain                1x500g,2,,1.5,0.00%,3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-10-05,9335058099,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-10-12,9335061377,INVOICE,118561,Alpro Simply Plain                1x500g,5,,1.5,0.00%,7.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-10-12,9335061377,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-10-12,9335061379,INVOICE,118561,Alpro Simply Plain                1x500g,5,,1.5,0.00%,7.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-10-12,9335061379,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-10-26,9335068320,INVOICE,118561,Alpro Simply Plain                1x500g,2,,1.5,0.00%,3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-11-14,9335076936,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.5,0.00%,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-11-14,9335076936,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-11-19,9335079588,INVOICE,118561,Alpro Simply Plain                1x500g,7,,1.5,0.00%,10.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-11-19,9335079588,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-11-21,9335081120,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-11-30,9335085800,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.5,0.00%,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-12-03,9335087126,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-12-07,9335090170,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-12-12,9335092659,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.5,0.00%,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-12-14,9335094135,INVOICE,118561,Alpro Simply Plain                1x500g,8,,1.5,0.00%,12,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-12-14,9335094135,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2024-12-17,9335094867,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.5,0.00%,9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-01-09,9335102845,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-01-14,9335104999,INVOICE,118561,Alpro Simply Plain                1x500g,2,,1.5,0.00%,3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-01-16,9335106532,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.5,0.00%,4.5,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-01-16,9335106532,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-01-25,9335111384,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.79,0.00%,9.79,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
